WELL_NAME,DATE,_merge
1.0,2021-05-21,left_only
1.0,2021-05-22,left_only
1.0,2021-05-23,left_only
1.0,2021-05-24,left_only
1.0,2021-05-25,left_only
1.0,2021-05-26,left_only
1.0,2021-05-27,left_only
1.0,2021-05-28,left_only
1.0,2021-05-29,left_only
1.0,2021-05-30,left_only
1.0,2021-05-31,left_only
1.0,2021-06-01,left_only
1.0,2021-06-02,left_only
1.0,2021-06-03,left_only
1.0,2021-06-04,left_only
1.0,2021-06-05,left_only
1.0,2021-06-06,left_only
1.0,2021-06-07,left_only
1.0,2021-06-08,left_only
1.0,2021-06-09,left_only
1.0,2021-06-10,left_only
1.0,2021-06-11,left_only
1.0,2021-06-12,left_only
1.0,2021-06-13,left_only
1.0,2021-06-14,left_only
1.0,2021-06-15,left_only
1.0,2021-06-16,left_only
1.0,2021-06-17,left_only
1.0,2021-06-18,left_only
1.0,2021-06-19,left_only
1.0,2021-06-20,left_only
1.0,2021-06-21,left_only
1.0,2021-06-22,left_only
1.0,2021-06-23,left_only
1.0,2021-06-24,left_only
1.0,2021-06-25,left_only
1.0,2021-06-26,left_only
1.0,2021-06-27,left_only
1.0,2021-06-28,left_only
1.0,2021-06-29,left_only
1.0,2021-06-30,left_only
1.0,2021-07-01,left_only
1.0,2021-07-02,left_only
1.0,2021-07-03,left_only
1.0,2021-07-04,left_only
1.0,2021-07-05,left_only
1.0,2021-07-06,left_only
1.0,2021-07-07,left_only
1.0,2021-07-08,left_only
1.0,2021-07-09,left_only
1.0,2021-07-10,left_only
1.0,2021-07-11,left_only
1.0,2021-07-12,left_only
1.0,2021-07-13,left_only
1.0,2021-07-14,left_only
1.0,2021-07-15,left_only
1.0,2021-07-16,left_only
1.0,2021-07-17,left_only
1.0,2021-07-18,left_only
1.0,2021-07-19,left_only
1.0,2021-07-20,left_only
1.0,2021-07-21,left_only
1.0,2021-07-22,left_only
1.0,2021-07-23,left_only
1.0,2021-07-24,left_only
1.0,2021-07-25,left_only
1.0,2021-07-26,left_only
1.0,2021-07-27,left_only
1.0,2021-07-28,left_only
1.0,2021-07-29,left_only
1.0,2021-07-30,left_only
1.0,2021-07-31,left_only
1.0,2021-08-01,left_only
1.0,2021-08-02,left_only
1.0,2021-08-03,left_only
1.0,2021-08-04,left_only
1.0,2021-08-05,left_only
1.0,2021-08-06,left_only
1.0,2021-08-07,left_only
1.0,2021-08-08,left_only
1.0,2021-08-09,left_only
1.0,2021-08-10,left_only
1.0,2021-08-11,left_only
1.0,2021-08-12,left_only
1.0,2021-08-13,left_only
1.0,2021-08-14,left_only
1.0,2021-08-15,left_only
1.0,2021-08-16,left_only
1.0,2021-08-17,left_only
1.0,2021-08-18,left_only
1.0,2021-08-19,left_only
1.0,2021-08-20,left_only
1.0,2021-08-21,left_only
1.0,2021-08-22,left_only
1.0,2021-08-23,left_only
1.0,2021-08-24,left_only
1.0,2021-08-25,left_only
1.0,2021-08-26,left_only
1.0,2021-08-27,left_only
1.0,2021-08-28,left_only
1.0,2021-08-29,left_only
1.0,2021-08-30,left_only
1.0,2021-08-31,left_only
1.0,2021-09-01,left_only
1.0,2021-09-02,left_only
1.0,2021-09-03,left_only
1.0,2021-09-04,left_only
1.0,2021-09-05,left_only
1.0,2021-09-06,left_only
1.0,2021-09-07,left_only
1.0,2021-09-08,left_only
1.0,2021-09-09,left_only
1.0,2021-09-10,left_only
1.0,2021-09-11,left_only
1.0,2021-09-12,left_only
1.0,2021-09-13,left_only
1.0,2021-09-14,left_only
1.0,2021-09-15,left_only
1.0,2021-09-16,left_only
1.0,2021-09-17,left_only
1.0,2021-09-18,left_only
1.0,2021-09-19,left_only
1.0,2021-09-20,left_only
1.0,2021-09-21,left_only
1.0,2021-09-22,left_only
